product_id,name,category,brand,price,description
P001,Wireless Bluetooth Headphones,Electronics,SoundMax,2499,Premium wireless headphones with active noise cancellation and 30-hour battery life. Perfect for music lovers and commuters.
P002,Smart Fitness Watch,Wearables,FitTrack,4999,Advanced fitness tracker with heart rate monitor GPS and sleep tracking. Water resistant up to 50m.
P003,Ergonomic Office Chair,Furniture,ComfortZone,8999,Adjustable lumbar support breathable mesh back and 360-degree swivel. Ideal for long working hours.
P004,Stainless Steel Water Bottle,Home & Kitchen,HydroLife,599,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours. BPA-free and eco-friendly.
P005,Laptop Backpack,Bags & Accessories,TravelPro,1899,Durable laptop backpack with multiple compartments USB charging port and anti-theft design. Fits up to 15.6 inch laptops.
P006,LED Desk Lamp,Home & Office,BrightLight,1299,Adjustable LED desk lamp with 5 brightness levels and 3 color modes. Energy-efficient and eye-friendly.
P007,Yoga Mat,Sports & Fitness,FlexFit,899,Non-slip yoga mat with extra cushioning for joints. Made from eco-friendly TPE material. Includes carrying strap.
P008,Portable Power Bank,Electronics,ChargeMax,1499,20000mAh power bank with fast charging support for multiple devices. Compact and lightweight design.
P009,Running Shoes,Footwear,SpeedRun,3499,Lightweight running shoes with cushioned sole and breathable mesh upper. Perfect for daily training and marathons.
P010,Wireless Mouse,Computer Accessories,TechGear,799,Ergonomic wireless mouse with 2.4GHz connection and adjustable DPI. Long battery life and silent clicks.
P011,Coffee Maker,Kitchen Appliances,BrewMaster,5499,Programmable coffee maker with 12-cup capacity. Features auto-brew timer and keep-warm function.
P012,Phone Camera Lens Kit,Mobile Accessories,PhotoPro,2199,Professional 3-in-1 lens kit with wide-angle macro and fisheye lenses. Compatible with most smartphones.
P013,Gaming Keyboard,Computer Accessories,GameTech,3999,Mechanical gaming keyboard with RGB backlighting and programmable keys. Anti-ghosting technology for gaming.
P014,Air Purifier,Home Appliances,PureAir,7999,HEPA filter air purifier removes 99.97% of airborne particles. Quiet operation and covers up to 300 sq ft.
P015,Smart LED Bulb,Electronics,SmartHome,499,WiFi-enabled smart bulb with 16 million colors. Voice control compatible with Alexa and Google Home.
P016,Protein Powder,Health & Nutrition,FitPro,2999,Whey protein isolate with 25g protein per serving. Available in chocolate and vanilla flavors. No artificial sweeteners.
P017,Bamboo Cutting Board,Kitchen & Dining,EcoKitchen,899,Large bamboo cutting board with juice groove. Naturally antibacterial and environmentally friendly.
P018,Wireless Earbuds,Electronics,SoundMax,3499,True wireless earbuds with touch controls and IPX7 waterproof rating. 6-hour playtime with charging case.
P019,Electric Kettle,Kitchen Appliances,QuickBoil,1299,1.7L electric kettle with auto shut-off and boil-dry protection. Stainless steel body and rapid boiling.
P020,Dumbbell Set,Sports & Fitness,PowerLift,4999,Adjustable dumbbell set from 5kg to 25kg per dumbbell. Space-saving design with secure locking mechanism.
