prompt,response
What is your return policy?,We offer a 30-day return policy on most items. Products must be unused and in original packaging. Some exclusions apply for electronics and personal care items.
How long does shipping take?,Standard shipping takes 5-7 business days. Express shipping is available for 2-3 business days. Free shipping on orders above ₹999.
Do you offer cash on delivery?,Yes we offer cash on delivery (COD) for orders up to ₹10000. A small COD fee may apply.
How can I track my order?,You can track your order by logging into your account and viewing order history. A tracking link will also be sent to your email once the order ships.
What payment methods do you accept?,We accept credit cards debit cards net banking UPI wallets and cash on delivery.
Can I cancel my order?,Yes you can cancel your order before it ships. Once shipped you can return it after delivery following our return policy.
Do you have a warranty on products?,Most electronics come with manufacturer warranty ranging from 6 months to 2 years. Check product details for specific warranty information.
How do I contact customer support?,You can contact us via email at support@example.com or call our helpline at 1800-XXX-XXXX. Live chat is also available on our website.
Are there any additional charges?,Product prices include GST. Shipping charges may apply for orders below ₹999. No hidden charges.
Can I change my delivery address?,Yes you can change the delivery address before the order is shipped. Contact customer support or update it in your order details.
Do you offer gift wrapping?,Yes we offer gift wrapping services for an additional charge of ₹50. Select this option at checkout.
What if I receive a damaged product?,If you receive a damaged product please contact us within 48 hours with photos. We will arrange a replacement or refund immediately.
Do you have a loyalty program?,Yes we have a rewards program where you earn points on every purchase. Points can be redeemed for discounts on future orders.
Can I buy in bulk?,Yes we offer bulk purchase discounts for orders of 10 or more units. Contact our sales team for a custom quote.
How do I apply a coupon code?,Enter your coupon code at checkout in the promo code field. The discount will be applied automatically before payment.
